"Column_Name","2015-2020","2021-2022","2023-2024"
"MMSI","X","",""
"Message_ID","X","",""
"Repeat_indicator","X","",""
"Time","X","",""
"Millisecond","X","",""
"Region","X","",""
"Country","X","",""
"Base_station","X","",""
"Online_data","X","",""
"Group_code","X","",""
"Sequence_ID","X","",""
"Channel","X","",""
"Data_length","X","",""
"Vessel_Name","X","",""
"Call_sign","X","",""
"IMO","X","",""
"Ship_Type","X","",""
"Dimension_to_Bow","X","",""
"Dimension_to_stern","X","",""
"Dimension_to_port","X","",""
"Dimension_to_starboard","X","",""
"Draught","X","",""
"Destination","X","",""
"AIS_version","X","",""
"Navigational_status","X","",""
"ROT","X","",""
"SOG","X","",""
"Accuracy","X","",""
"Longitude","X","",""
"Latitude","X","",""
"COG","X","",""
"Heading","X","",""
"Regional","X","",""
"Maneuver","X","",""
"RAIM_flag","X","",""
"Communication_flag","X","",""
"Communication_state","X","",""
"UTC_year","X","",""
"UTC_month","X","",""
"UTC_day","X","",""
"UTC_hour","X","",""
"UTC_minute","X","",""
"UTC_second","X","",""
"Fixing_device","X","",""
"Transmission_control","X","",""
"ETA_month","X","",""
"ETA_day","X","",""
"ETA_hour","X","",""
"ETA_minute","X","",""
"Sequence","X","",""
"Destination_ID","X","",""
"Retransmit_flag","X","",""
"Country_code","X","",""
"Functional_ID","X","",""
"Data","X","",""
"Destination_ID_1","X","",""
"Sequence_1","X","",""
"Destination_ID_2","X","",""
"Sequence_2","X","",""
"Destination_ID_3","X","",""
"Sequence_3","X","",""
"Destination_ID_4","X","",""
"Sequence_4","X","",""
"Altitude","X","",""
"Altitude_sensor","X","",""
"Data_terminal","X","",""
"Mode","X","",""
"Safety_text","X","",""
"Non.standard_bits","X","",""
"Name_extension","X","",""
"Name_extension_padding","X","",""
"Message_ID_1_1","X","",""
"Offset_1_1","X","",""
"Message_ID_1_2","X","",""
"Offset_1_2","X","",""
"Message_ID_2_1","X","",""
"Offset_2_1","X","",""
"Destination_ID_A","X","",""
"Offset_A","X","",""
"Increment_A","X","",""
"Destination_ID_B","X","",""
"offsetB","X","",""
"incrementB","X","",""
"data_msg_type","X","",""
"station_ID","X","",""
"Z_count","X","",""
"num_data_words","X","",""
"health","X","",""
"unit_flag","X","",""
"display","X","",""
"DSC","X","",""
"band","X","",""
"msg22","X","",""
"offset1","X","",""
"num_slots1","X","",""
"timeout1","X","",""
"Increment_1","X","",""
"Offset_2","X","",""
"Number_slots_2","X","",""
"Timeout_2","X","",""
"Increment_2","X","",""
"Offset_3","X","",""
"Number_slots_3","X","",""
"Timeout_3","X","",""
"Increment_3","X","",""
"Offset_4","X","",""
"Number_slots_4","X","",""
"Timeout_4","X","",""
"Increment_4","X","",""
"ATON_type","X","",""
"ATON_name","X","",""
"off_position","X","",""
"ATON_status","X","",""
"Virtual_ATON","X","",""
"Channel_A","X","",""
"Channel_B","X","",""
"Tx_Rx_mode","X","",""
"Power","X","",""
"Message_indicator","X","",""
"Channel_A_bandwidth","X","",""
"Channel_B_bandwidth","X","",""
"Transzone_size","X","",""
"Longitude_1","X","",""
"Latitude_1","X","",""
"Longitude_2","X","",""
"Latitude_2","X","",""
"Station_Type","X","",""
"Report_Interval","X","",""
"Quiet_Time","X","",""
"Part_Number","X","",""
"Vendor_ID","X","",""
"Mother_ship_MMSI","X","",""
"Destination_indicator","X","",""
"Binary_flag","X","",""
"GNSS_status","X","",""
"spare","X","",""
"spare2","X","",""
"spare3","X","",""
"spare4","X","",""
"FID","","X",""
"mmsi","","X","X"
"imo","","X","X"
"vessel_name","","X",""
"callsign","","X",""
"vessel_type","","X",""
"vessel_type_code","","X",""
"vessel_type_cargo","","X",""
"vessel_class","","X",""
"length","","X","X"
"width","","X","X"
"flag_country","","X",""
"flag_code","","X",""
"destination","","X","X"
"eta","","X","X"
"draught","","X","X"
"longitude","","X","X"
"latitude","","X","X"
"sog","","X",""
"cog","","X",""
"rot","","X","X"
"heading","","X","X"
"nav_status","","X",""
"nav_status_code","","X",""
"source","","X",""
"ts_pos_utc","","X",""
"ts_static_utc","","X",""
"dt_pos_utc","","X",""
"dt_static_utc","","X",""
"vessel_type_main","","X",""
"vessel_type_sub","","X",""
"message_type","","X",""
"created_at","","","X"
"position_timestamp","","","X"
"static_timestamp","","","X"
"speed","","","X"
"course","","","X"
"name","","","X"
"call_sign","","","X"
"flag","","","X"
"ship_and_cargo_type","","","X"
"ship_type","","","X"
"status","","","X"
"maneuver","","","X"
"accuracy","","","X"
"collection_type","","","X"
